HH_ID,ResType,ResStatus,HHInc,HHNbr,MWrkHrs,MEdu,FWrkHrs,FEdu,FBirth,F_Rel,MBirth,M_Rel,Cable,Cats,Dogs,YogExp,DinExp,HHIn1,HHIn2,HHIn3,HHIn4,HHIn5,HHIn6,HHIn7,HHIn8,HHIn9,HHIn10,HHIn11,HHIn12,HHIn13,ResType1,ResType2,ResType3,ResType4,ResType5,ResStatus1,ResStatus2,MUndergrad,MGrad,FUndergrad,FGrad,Married,BuyYog,BuyDin,FAge,MAge
1101097,3,1,4,2,21,4,20,9,1928,1,1919,2,1,0,0,3.84,0.00,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,60,69
1101162,3,1,2,1,0,0,0,5,1930,1,1930,0,1,0,1,0.00,0.00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,58,58
1101204,3,1,7,3,45,5,28,5,1954,1,1939,2,1,0,1,49.05,159.12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,34,49
1101220,1,2,5,1,0,0,40,5,1937,1,1937,0,1,0,0,24.56,0.00,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,51,51
1101261,3,1,9,3,50,9,40,11,1949,1,1949,2,1,0,1,19.29,0.00,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,0,39,39
1101311,3,1,4,1,0,0,45,7,1932,1,1932,0,1,0,0,0.99,0.00,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,56,56
1101329,2,1,11,5,40,9,36,9,1955,1,1952,2,1,1,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,33,36
1101378,3,1,6,6,40,8,40,5,1954,1,1953,2,1,0,0,21.60,0.00,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,34,35
1101402,3,1,7,4,60,8,8,8,1928,1,1929,2,1,1,0,3.36,0.00,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,60,59
1101410,4,2,4,1,0,0,40,9,1949,1,1949,0,0,0,0,0.43,1.46,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,39,39
1101428,3,1,6,4,40,7,40,6,1946,1,1941,2,1,0,0,0.00,0.00,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,42,47
1101444,3,1,3,1,0,0,40,7,1934,1,1934,0,0,0,0,3.17,0.00,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,54,54
1101485,3,1,9,5,50,9,20,9,1941,1,1941,2,0,0,1,29.22,0.00,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,47,47
1101519,1,2,4,2,0,0,45,7,1960,1,1960,0,0,0,0,23.38,50.31,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,28,28
1101543,3,1,11,5,50,8,41,9,1954,1,1956,2,1,0,1,4.96,0.00,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,34,32
1101568,3,1,9,3,50,10,25,9,1947,1,1948,2,0,0,0,17.29,0.00,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,41,40
1101618,3,1,3,1,0,0,0,8,1922,1,1922,0,0,0,1,55.91,0.00,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,66,66
