INSTNM,STABBR,ACCREDAGENCY,MAIN,PREDDEG,CONTROL,LOCALE,CCUGPROF,CCSIZSET,PCTFLOAN,NPT41_PUB,NPT42_PUB,NPT43_PUB,NPT44_PUB,NPT45_PUB,LO_INC_RPY_1YR_RT,MD_INC_RPY_1YR_RT,HI_INC_RPY_1YR_RT,MD_EARN_WNE_P6,COUNT_NWNE_P6,COUNT_WNE_P6
El Camino Community College District,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,2,1,21,1,5,0.0000,8051,8779,11950,13266,,0.179868,,,22100.00,857,3829
Elegance International,CA,,1,1,3,11,-2,-2,0.6786,,,,,,0.348315,,,23500.00,,
Emperor's College of Traditional Oriental Medicine,CA,Accrediting Commission for Acupuncture and Oriental Medicine,1,4,3,13,0,18,,,,,,,,,,,,
Empire College,CA,Accrediting Council for Independent Colleges and Schools,1,1,3,12,11,6,0.5609,,,,,,0.290155,0.469697,0.641026,28800.00,110,424
Evergreen Valley College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,2,1,11,1,4,0.0065,10410,11025,13049,16419,,0.442786,,,25700.00,298,1490
FIDM-Fashion Institute of Design & Merchandising-Los Angeles,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,2,3,11,15,9,0.5395,,,,,,0.477876,0.557155,0.668407,33900.00,440,3305
FIDM-Fashion Institute of Design & Merchandising-San Francisco,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,0,2,3,11,15,6,0.6237,,,,,,0.477876,0.557155,0.668407,33900.00,440,3305
FIDM-Fashion Institute of Design & Merchandising-Orange County,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,0,2,3,11,-2,-2,0.6197,,,,,,0.477876,0.557155,0.668407,33900.00,440,3305
Feather River Community College District,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,2,1,41,5,9,0.0946,7060,9023,11334,13840,,0.191275,0.330097,0.560000,23100.00,99,348
Federico Beauty Institute,CA,National Accrediting Commission of Career Arts and Sciences,1,1,3,21,-2,-2,0.5961,,,,,,0.439252,0.554455,0.673077,22100.00,53,238
Fielding Graduate University,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,4,2,13,0,18,,,,,,,,,,,,
Five Branches University,CA,Accrediting Commission for Acupuncture and Oriental Medicine,1,4,3,22,0,18,,,,,,,,,,,,
Redondo Beach Beauty College,CA,National Accrediting Commission of Career Arts and Sciences,1,1,3,21,-2,-2,0.0957,,,,,,,,,,,
Foothill College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,1,1,21,5,12,0.0222,3528,3589,6859,9710,10558,0.316720,0.443946,0.567568,33400.00,168,812
Franciscan School of Theology,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,4,2,21,0,18,,,,,,,,,,,,
Fredrick and Charles Beauty College,CA,National Accrediting Commission of Career Arts and Sciences,1,1,3,33,-2,-2,0.0000,,,,,,,,,,,
Fresno City College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,2,1,11,1,5,0.0106,2476,2932,5798,,,0.250464,0.414847,0.440000,20800.00,1684,6508
Fresno Pacific University,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,2,11,13,12,0.7180,,,,,,0.353261,0.506734,0.644377,34900.00,102,947
Fuller Theological Seminary,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,4,2,12,0,18,,,,,,,,,,,,
Fullerton College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,2,1,21,1,5,0.0439,4660,5299,7349,8996,11186,0.250396,0.407143,0.517647,25200.00,511,2822
Gavilan College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,1,1,23,1,3,0.0043,4639,,,,3913,0.211679,,,23100.00,161,795
Gemological Institute of America-Carlsbad,CA,Accrediting Commission of Career Schools and Colleges,1,1,2,12,-2,-2,0.1026,,,,,,0.683333,,,38500.00,30,94
Glendale Community College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,2,1,12,2,4,0.0199,3559,4045,7643,7180,,0.516064,,,23500.00,662,2582
Glendale Career College,CA,Accrediting Bureau of Health Education Schools,1,1,3,12,4,2,0.7803,,,,,,0.320583,0.434579,0.608696,28800.00,83,397
Golden Gate University-San Francisco,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,2,11,5,9,0.3473,,,,,,0.448980,0.455224,0.560000,66100.00,33,202
Golden West College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,2,1,21,1,4,0.0186,3930,4526,7376,8607,,0.440580,,,24400.00,309,1370
Graduate Theological Union,CA,Commission on Accrediting of the Association of Theological Schools,1,4,2,12,0,18,,,,,,,,,,,,
Grossmont College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,2,1,21,1,5,0.0189,2120,3271,5957,7217,10090,0.351464,0.523810,0.569444,24900.00,463,2048
Salon Success Academy-Riverside,CA,National Accrediting Commission of Career Arts and Sciences,1,1,3,11,-2,-2,0.6311,,,,,,0.333333,,,15500.00,,
Hartnell College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,2,1,12,1,4,0.0000,2656,3190,6039,8101,8075,0.213592,,,25100.00,259,1252
Harvey Mudd College,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,2,21,14,8,0.3856,,,,,,,,,72500.00,,
Hilltop Beauty School,CA,National Accrediting Commission of Career Arts and Sciences,1,1,3,21,-2,-2,0.0000,,,,,,,,,22500.00,36,139
Holy Names University,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,2,11,11,8,0.8071,,,,,,0.333333,0.441341,0.640288,39600.00,26,271
Pacifica Graduate Institute,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,4,3,41,0,18,,,,,,,,,,,,
Humboldt State University,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,1,33,13,13,0.5126,11120,12257,16887,20104,23515,0.469534,0.540333,0.600499,26200.00,313,2120
Humphreys University-Stockton and Modesto Campuses,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,2,11,7,6,0.6614,,,,,,0.139623,0.218905,0.272727,25400.00,64,294
Imperial Valley College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,2,1,41,2,4,0.0000,981,1371,4904,7257,2168,,,,18400.00,475,2051
Institute for Business and Technology,CA,Accrediting Commission of Career Schools and Colleges,1,1,3,12,4,2,0.4403,,,,,,0.273632,0.457143,0.717949,26800.00,472,1895
Interior Designers Institute,CA,Accrediting Commission of Career Schools and Colleges,1,2,3,13,5,6,0.5240,,,,,,0.550000,,,35000.00,,
Toni & Guy Hairdressing Academy-Santa Monica,CA,National Accrediting Commission of Career Arts and Sciences,1,1,3,13,-2,-2,0.5774,,,,,,0.341637,0.454545,0.531250,19400.00,,
Irvine Valley College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,1,1,11,1,4,0.0102,1723,2178,5525,8313,9973,0.320261,,,27100.00,185,660
Bellus Academy-El Cajon,CA,National Accrediting Commission of Career Arts and Sciences,1,1,3,21,-2,-2,0.5613,,,,,,0.267677,,,17500.00,43,127
John F. Kennedy University,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,2,21,5,6,0.4583,,,,,,0.276786,0.384615,0.690476,39200.00,29,81
American Jewish University,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,2,11,11,8,0.3443,,,,,,,,,,,
Reedley College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,1,1,32,1,4,0.0097,3001,3174,3360,,,0.302594,0.428571,0.370370,20900.00,696,3178
Life Pacific University,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,2,21,11,8,0.6904,,,,,,0.409639,0.405405,0.596774,28400.00,,
University of La Verne,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,2,21,9,12,0.6204,,,,,,0.326222,0.485714,0.591483,41700.00,139,1516
Laguna College of Art and Design,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,2,41,15,6,0.5770,,,,,,0.338235,0.627907,0.704225,24900.00,,
Lake Tahoe Community College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,2,1,41,1,2,0.0000,6554,7374,8265,,,,,,20700.00,75,275
Lancaster Beauty School,CA,National Accrediting Commission of Career Arts and Sciences,1,1,3,21,-2,-2,0.6450,,,,,,0.188034,,,12100.00,38,80
Laney College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,2,1,11,1,3,0.0154,9756,9989,12957,,,0.170854,,,21200.00,460,1401
Lassen Community College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,2,1,41,1,2,0.0173,7124,8667,13029,14099,15575,0.170886,,,21500.00,152,367
Life Chiropractic College West,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,4,2,12,0,18,,,,,,,,,,,,
Lincoln University,CA,Accrediting Council for Independent Colleges and Schools,1,3,2,11,6,6,0.2832,,,,,,,,,,,
Southern California Seminary,CA,Transnational Association of Christian Colleges and Schools,1,3,2,21,5,6,0.4231,,,,,,0.416667,,,,,
La Sierra University,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,2,11,11,10,0.5869,,,,,,0.381356,0.477193,0.565574,33700.00,42,339
Loma Linda University,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,2,21,11,13,0.6230,,,,,,0.700549,0.781116,0.818182,72000.00,29,667
Long Beach City College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,2,1,11,1,5,0.0210,3327,3807,5871,7733,10055,0.184009,0.315789,0.380000,22300.00,1472,4848
Southern California University of Health Sciences,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,1,2,21,10,6,0.0778,,,,,,0.270270,,,,,
Los Angeles Harbor College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,2,1,11,1,3,0.0082,9145,9774,12514,13782,,0.345029,,,25200.00,308,1493
Los Angeles Pierce College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,2,1,11,1,4,0.0354,8817,9231,11944,13227,,0.233216,0.297297,0.375000,25300.00,543,2274
Los Angeles Southwest College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,2,1,21,1,3,0.0333,7150,6568,9012,10542,,0.176056,,,19500.00,426,1531
Los Angeles Trade Technical College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,1,1,11,1,4,0.0261,7259,6406,9700,,,0.211832,,,20400.00,644,1767
Los Angeles Valley College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,2,1,11,1,4,0.0139,8294,8734,10915,11865,,0.303876,,,25400.00,463,1999
The Master's University and Seminary,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,2,21,13,11,0.5223,,,,,,0.557143,0.716578,0.848649,35500.00,47,376
Los Angeles City College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,1,1,11,1,4,0.0312,4946,5986,7417,,,0.247093,,,20400.00,792,2117
Los Angeles County College of Nursing and Allied Health,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,2,1,11,1,1,0.5962,,,,,,0.638298,,,75300.00,,
Los Angeles Mission College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,2,1,11,1,3,0.0141,7972,8190,10774,11953,,0.387681,,,25200.00,259,1139
Los Medanos College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,2,1,21,1,3,0.0163,4463,4348,7402,7964,11666,0.354839,,,24800.00,337,1337
Loyola Marymount University,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,2,11,15,14,0.3855,,,,,,0.616477,0.751553,0.793782,45100.00,107,1449
Lu Ross Academy,CA,National Accrediting Commission of Career Arts and Sciences,1,1,3,12,-2,-2,0.5360,,,,,,0.438776,0.482353,0.529412,,,
Lyle's College of Beauty,CA,,1,1,3,11,-2,-2,0.3577,,,,,,,,,,,
Lyle's College of  Beauty,CA,National Accrediting Commission of Career Arts and Sciences,1,1,3,11,-2,-2,0.5093,,,,,,0.357143,,,14600.00,42,158
Lytles Redwood Empire Beauty College Inc,CA,National Accrediting Commission of Career Arts and Sciences,1,1,3,21,-2,-2,0.4528,,,,,,0.658824,,,20400.00,,
MTI Business College Inc,CA,,1,1,3,11,-2,-2,1.0000,,,,,,0.165138,,,14900.00,62,150
MTI College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,1,3,21,4,2,0.7345,,,,,,0.372654,0.456193,0.546875,24800.00,197,883
College of Marin,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,2,1,21,1,3,0.0115,6239,7818,10242,12969,,0.191489,,,27800.00,213,656
Marymount California University,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,2,2,21,11,7,0.5393,,,,,,0.320261,0.515464,0.533333,27900.00,28,181
Mendocino College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,2,1,41,1,2,0.0292,6768,6889,8576,,,0.158120,,,22800.00,237,558
Menlo College,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,2,21,13,8,0.5396,,,,,,0.477778,0.603960,0.707547,33200.00,27,208
Merced College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,2,1,13,2,4,0.0000,8005,8227,10396,12140,,,,,20800.00,644,2375
Merritt College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,1,1,11,1,3,0.0134,8264,8010,11464,,,0.174603,,,24100.00,221,722
Mills College,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,2,11,11,11,0.6833,,,,,,0.489796,0.664634,0.700787,34600.00,51,356
MiraCosta College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,1,1,21,5,12,0.0245,3125,3500,5804,8704,,0.389831,,,23300.00,174,756
Mission College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,2,1,12,1,3,0.0065,6888,7430,9515,10575,,0.406452,,,28600.00,265,1069
Modern Beauty Academy,CA,National Accrediting Commission of Career Arts and Sciences,1,1,3,12,-2,-2,0.4211,,,,,,0.487179,,,14800.00,,
Modesto Junior College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,2,1,12,5,12,0.0000,6709,7407,10438,12782,,,,,22900.00,870,3059
Moler Barber College,CA,Accrediting Commission of Career Schools and Colleges,1,1,3,11,-2,-2,0.6351,,,,,,0.285714,,,,,
Middlebury Institute of International Studies at Monterey,CA,New England Commission on Higher Education,0,3,2,22,11,6,0.6923,,,,,,,,0.865741,41900.00,63,435
Monterey Peninsula College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,2,1,22,1,3,0.0177,6376,7119,9080,11228,13077,0.195918,0.276923,0.560000,24300.00,212,740
Moorpark College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,2,1,22,2,4,0.0130,351,1240,4187,6836,8209,0.324607,0.378151,0.520000,29600.00,135,882
Mt San Antonio College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,2,1,21,1,5,0.0065,1816,2549,5417,7185,10161,0.300000,,,25900.00,663,3550
Mount Saint Mary's University,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,2,11,7,10,0.8866,,,,,,0.454212,0.492063,0.713115,51900.00,67,747
Mt San Jacinto Community College District,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,2,1,22,1,4,0.0000,4099,4296,7066,9573,,0.230337,,,22100.00,745,2621
Musicians Institute,CA,National Association of Schools of Music,1,1,3,11,11,6,0.3253,,,,,,0.383912,0.554717,0.637795,22600.00,185,837
Napa Valley College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,2,1,13,1,3,0.0094,9339,10518,14094,15970,,0.335821,,,31200.00,134,712
National Holistic Institute,CA,Accrediting Council for Continuing Education & Training,1,1,3,21,-2,-2,0.4587,,,,,,0.452920,0.600877,0.691589,22800.00,189,673
National University,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,2,11,5,15,0.3649,,,,,,0.347380,0.450170,0.591667,48900.00,361,2995
Naval Postgraduate School,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,4,1,22,0,18,,,,,,,,,,,,
Newschool of Architecture and Design,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,3,11,11,6,0.5161,,,,,,0.385417,0.490909,0.435897,41800.00,,
Newberry School of Beauty,CA,National Accrediting Commission of Career Arts and Sciences,1,1,3,11,-2,-2,0.4878,,,,,,0.511628,0.697674,0.521739,17600.00,46,161
North Adrian's College of Beauty Inc,CA,National Accrediting Commission of Career Arts and Sciences,1,1,3,12,-2,-2,0.5993,,,,,,0.157480,,,13900.00,100,213
North-West College-Pomona,CA,Accrediting Commission of Career Schools and Colleges,1,1,3,21,-2,-2,0.9175,,,,,,0.280488,0.432558,0.565217,23700.00,123,473
North-West College-West Covina,CA,Accrediting Commission of Career Schools and Colleges,1,1,3,21,4,2,0.9060,,,,,,0.406250,0.571429,0.702128,22500.00,148,753
North-West College-Van Nuys,CA,Accrediting Commission of Career Schools and Colleges,1,1,3,12,-2,-2,0.8764,,,,,,0.339367,,,24400.00,40,168
Notre Dame de Namur University,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,2,21,7,10,0.6353,,,,,,0.489164,0.529680,0.665049,44300.00,40,388
Occidental College,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,2,11,14,11,0.4594,,,,,,0.836364,0.839286,0.846809,39200.00,37,308
Ohlone College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,2,1,21,1,4,0.0072,8386,7699,11768,13993,,0.269231,,,30300.00,172,785
Orange Coast College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,1,1,12,1,5,0.0203,3574,4112,7035,9587,11457,0.399217,0.453988,0.606557,27000.00,438,2379
Otis College of Art and Design,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,2,11,11,9,0.4906,,,,,,0.585903,0.709091,0.735849,31000.00,70,402
Oxnard College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,2,1,12,1,3,0.0000,521,1159,3254,5333,,,,,22700.00,274,1158
Hope International University,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,2,21,7,10,0.6382,,,,,,0.341121,0.480226,0.609589,29700.00,42,308
Concorde Career College-San Diego,CA,Accrediting Commission of Career Schools and Colleges,1,1,3,11,4,2,0.6044,,,,,,0.299451,0.473498,0.576923,24700.00,243,1024
Palo Alto University,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,2,41,11,6,0.6446,,,,,,0.547619,,,,,
Pacific Oaks College,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,2,12,5,6,0.8501,,,,,,0.343558,0.483607,0.583333,38900.00,,
Pacific School of Religion,CA,Commission on Accrediting of the Association of Theological Schools,1,4,2,12,0,18,,,,,,,,,,,,
Pacific States University,CA,Accrediting Commission of Career Schools and Colleges,1,3,2,11,0,6,0.0000,,,,,,,,,,,
Pacific Union College,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,2,41,11,11,0.7145,,,,,,0.406780,0.472727,0.643357,39300.00,40,403
University of the Pacific,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,2,11,14,14,0.5175,,,,,,0.525714,0.684874,0.775148,51700.00,81,1163
Palo Verde College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,1,1,42,1,2,0.0000,8735,9286,11998,,,,,,18600.00,53,209
Palomar College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,1,1,21,1,5,0.0068,3312,3769,7002,8605,10106,0.255319,0.435185,0.357143,24100.00,450,1606
Pasadena City College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,2,1,12,1,5,0.0063,3887,4560,7647,9236,,0.297398,0.366197,0.424242,24400.00,808,3921
Pepperdine University,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,2,21,14,14,0.3810,,,,,,0.512281,0.711816,0.779221,47800.00,69,755
Pitzer College,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,2,21,14,11,0.3780,,,,,,0.704918,0.825397,0.864078,33900.00,,
Platt College-San Diego,CA,Accrediting Commission of Career Schools and Colleges,1,2,3,11,10,6,0.4326,,,,,,0.402439,0.290323,0.542857,33700.00,35,177
Point Loma Nazarene University,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,2,11,15,14,0.5851,,,,,,0.596330,0.738411,0.830472,40800.00,78,826
Pomona College,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,2,21,14,11,0.1226,,,,,,,,0.820896,41100.00,,
Porterville College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,2,1,13,2,3,0.0000,4544,,,,4821,,,,20000.00,282,1093
Professional Institute of Beauty,CA,National Accrediting Commission of Career Arts and Sciences,1,1,3,21,-2,-2,0.3333,,,,,,0.594059,,,14500.00,33,83
Santa Ana College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,1,1,11,5,15,0.0053,3966,4407,6590,8465,,0.357143,,,26300.00,326,1858
Pardee RAND Graduate School,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,4,2,13,0,18,,,,,,,,,,,,
Shasta School of Cosmetology,CA,National Accrediting Commission of Career Arts and Sciences,1,1,3,13,-2,-2,0.0000,,,,,,,,,,,
University of Redlands,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,2,13,14,14,0.5810,,,,,,0.534381,0.590038,0.729393,43700.00,89,1124
College of the Redwoods,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,2,1,41,1,3,0.0657,3645,4003,7311,,10393,0.300000,0.350515,0.483871,21100.00,623,1495
Salon Success Academy-Upland,CA,National Accrediting Commission of Career Arts and Sciences,1,1,3,21,-2,-2,0.6414,,,,,,0.376963,0.338710,0.592593,17400.00,36,145
Salon Success Academy-Corona,CA,National Accrediting Commission of Career Arts and Sciences,1,1,3,12,-2,-2,0.7195,,,,,,0.304054,0.423077,0.710526,15400.00,59,203
Rio Hondo College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,1,1,21,5,12,0.0029,3775,4471,7092,8848,,0.267925,,,25300.00,428,2493
Riverside City College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,2,1,11,1,5,0.0153,5247,5812,8815,10491,12035,0.299835,0.474684,0.518519,24300.00,1288,6100
Rosemead Beauty School,CA,National Accrediting Commission of Career Arts and Sciences,1,1,3,21,-2,-2,0.0000,,,,,,,,,13200.00,73,235
Dongguk University-Los Angeles,CA,Accrediting Commission for Acupuncture and Oriental Medicine,1,4,2,11,0,18,,,,,,,,,,,,
Sacramento City College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,2,1,11,1,5,0.0365,5069,5146,7762,10713,11379,0.208333,0.415020,0.455882,24200.00,942,3466
Saddleback College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,1,1,21,1,5,0.0136,4840,5551,9355,10199,12580,0.345930,0.469697,0.484848,28300.00,207,880
Samuel Merritt University,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,2,11,7,9,0.5452,,,,,,0.757669,0.784431,0.915152,100100.00,,
San Diego City College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,1,1,11,1,4,0.0223,5259,5881,8567,9719,12073,0.241121,,,23100.00,793,2422
San Diego Mesa College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,2,1,11,5,15,0.0127,4718,5766,8491,10148,5676,0.347633,0.491071,0.437500,27800.00,410,1970
San Diego Miramar College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,2,1,11,1,4,0.0114,5493,6460,8457,10449,6051,0.313993,,,27400.00,207,942
San Diego State University,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,1,11,15,15,0.2827,9456,10883,15335,19056,22144,0.561336,0.624492,0.661482,37700.00,707,7638
University of San Diego,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,2,11,15,13,0.3817,,,,,,0.625337,0.730280,0.821429,50100.00,121,1336
San Francisco Art Institute,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,2,11,13,7,0.5953,,,,,,0.360825,0.491228,0.586207,26500.00,39,127
San Francisco Conservatory of Music,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,1,2,11,14,8,0.4585,,,,,,,,0.555556,,,
San Francisco State University,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,1,11,11,15,0.3371,11189,12619,16602,20835,23571,0.543272,0.613136,0.650265,38000.00,758,6657
San Francisco Theological Seminary,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,4,2,21,0,18,,,,,,,,,,,,
University of San Francisco,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,2,11,15,16,0.5069,,,,,,0.584814,0.710210,0.760814,50000.00,153,1630
San Joaquin College of Law,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,4,2,21,0,18,,,,,,,,,,,,
San Joaquin Delta College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,2,1,11,1,5,0.0306,10012,10679,13449,14776,16312,0.154294,0.361111,0.520833,22500.00,1158,3857
San Joaquin Valley College-Visalia,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,1,3,41,11,12,0.6003,,,,,,0.193029,0.357532,0.516588,24700.00,1236,5422
William Jessup University,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,2,41,13,11,0.6761,,,,,,0.471154,0.605882,0.636943,34000.00,,
San Jose City College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,2,1,11,1,3,0.0091,9858,10254,13172,16203,,0.281879,,,24700.00,344,1271
San Jose State University,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,1,11,13,15,0.2975,11033,12456,16690,20625,23545,0.646922,0.703685,0.727160,42200.00,521,5999
College of San Mateo,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,2,1,21,1,3,0.0056,246,1169,4630,6378,9316,0.467391,,,29000.00,159,734
Santa Barbara Business College-Bakersfield,CA,Accrediting Council for Independent Colleges and Schools,1,2,3,11,11,6,0.7922,,,,,,0.207792,0.254335,0.517241,20700.00,222,769
Santa Barbara Business College-Santa Maria,CA,Accrediting Commission of Career Schools and Colleges,1,2,3,12,11,6,0.7949,,,,,,0.369159,,,26200.00,39,283
Santa Barbara City College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,2,1,13,1,4,0.0815,7244,7739,10919,13529,14722,0.281487,0.424682,0.477041,26900.00,488,2215
Santa Clara University,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,2,12,14,14,0.2773,,,,,,0.778261,0.845614,0.882353,61100.00,64,1006
Santa Monica College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,2,1,13,5,15,0.0167,3776,4412,7172,9128,11458,0.334135,0.577236,0.571429,23500.00,711,3183
