INSTNM,STABBR,ACCREDAGENCY,MAIN,PREDDEG,CONTROL,LOCALE,CCUGPROF,CCSIZSET,PCTFLOAN,NPT41_PUB,NPT42_PUB,NPT43_PUB,NPT44_PUB,NPT45_PUB,LO_INC_RPY_1YR_RT,MD_INC_RPY_1YR_RT,HI_INC_RPY_1YR_RT,MD_EARN_WNE_P6,COUNT_NWNE_P6,COUNT_WNE_P6
The University of Texas at Dallas,TX,Southern Association of Colleges and Schools Commission on Colleges,1,3,1,12,15,16,0.4344,10076,10597,13504,18482,20641,0.530411,0.622079,0.698052,44000.00,277,2800
The University of Texas at El Paso,TX,Southern Association of Colleges and Schools Commission on Colleges,1,3,1,11,7,15,0.4148,7199,7774,11472,16530,16927,0.386722,0.443284,0.478125,30400.00,463,4409
The University of Texas at Tyler,TX,Southern Association of Colleges and Schools Commission on Colleges,1,3,1,12,9,12,0.3655,8830,11371,15307,17673,18293,0.431354,0.559126,0.664794,39400.00,157,1695
Texas Chiropractic College Foundation Inc,TX,Southern Association of Colleges and Schools Commission on Colleges,1,4,2,21,0,18,,,,,,,,,,,,
Texas Christian University,TX,Southern Association of Colleges and Schools Commission on Colleges,1,3,2,11,15,16,0.2858,,,,,,0.629712,0.688192,0.815470,46900.00,90,1516
Texas College,TX,Southern Association of Colleges and Schools Commission on Colleges,1,3,2,12,11,8,0.8901,,,,,,0.117002,0.139785,0.357143,21500.00,54,449
University of North Texas Health Science Center,TX,Southern Association of Colleges and Schools Commission on Colleges,1,4,1,11,0,18,,,,,,,,,,,,
Texas Lutheran University,TX,Southern Association of Colleges and Schools Commission on Colleges,1,3,2,31,12,11,0.6806,,,,,,0.476190,0.596413,0.709821,36300.00,33,529
The University of Texas of the Permian Basin,TX,Southern Association of Colleges and Schools Commission on Colleges,1,3,1,12,5,13,0.2425,9538,,18125,18125,16425,0.467687,0.566210,0.681416,40700.00,108,981
The University of Texas at San Antonio,TX,Southern Association of Colleges and Schools Commission on Colleges,1,3,1,11,13,15,0.4964,10325,11307,13896,17777,19951,0.424304,0.500573,0.597615,36600.00,600,7185
Texas Southern University,TX,Southern Association of Colleges and Schools Commission on Colleges,1,3,1,11,11,12,0.6567,19895,24004,24004,,19409,0.178192,0.195521,0.280000,24700.00,261,2203
Texas Tech University,TX,Southern Association of Colleges and Schools Commission on Colleges,1,3,1,11,15,16,0.4487,11625,12872,16786,20549,21576,0.481419,0.603474,0.732265,42200.00,444,6162
Texas Wesleyan University,TX,Southern Association of Colleges and Schools Commission on Colleges,1,3,2,11,13,10,0.6183,,,,,,0.285714,0.420054,0.561497,36600.00,74,664
Texas Woman's University,TX,Southern Association of Colleges and Schools Commission on Colleges,1,3,1,12,7,15,0.4935,6535,7354,10162,14411,16129,0.390199,0.535690,0.613014,40400.00,227,2695
Trinity University,TX,Southern Association of Colleges and Schools Commission on Colleges,1,3,2,11,14,11,0.3466,,,,,,0.818182,0.809524,0.814935,45700.00,,
The University of Texas Health Science Center at Houston,TX,Southern Association of Colleges and Schools Commission on Colleges,1,3,1,11,11,12,0.7038,,,,,,0.794258,0.904762,0.845361,66200.00,,
Texas Tech University Health Sciences Center,TX,Southern Association of Colleges and Schools Commission on Colleges,1,3,1,11,11,12,0.4969,,,,,,0.706522,0.753388,0.825806,68300.00,,
Tyler Junior College,TX,Southern Association of Colleges and Schools Commission on Colleges,1,2,1,12,7,12,0.2991,8249,9152,11419,13072,14057,0.198359,0.352518,0.456483,26700.00,413,3292
Universal Technical Institute of Texas Inc.,TX,Accrediting Commission of Career Schools and Colleges,1,1,3,11,-2,-2,0.5915,,,,,,0.380838,0.493174,0.671533,36300.00,467,4563
UCAS University of Cosemtology Arts & Sciences-McAllen,TX,National Accrediting Commission of Career Arts and Sciences,1,1,3,12,-2,-2,0.0507,,,,,,0.315476,,,14700.00,187,470
Vernon College,TX,Southern Association of Colleges and Schools Commission on Colleges,1,1,1,41,1,2,0.3546,4413,4888,7434,10183,9927,0.276331,0.428928,0.491935,27600.00,150,886
Victoria Beauty College Inc,TX,National Accrediting Commission of Career Arts and Sciences,1,1,3,13,-2,-2,1.0000,,,,,,0.467532,,,10900.00,29,87
Victoria College,TX,Southern Association of Colleges and Schools Commission on Colleges,1,2,1,13,1,3,0.1022,5120,4699,7604,10909,11608,0.297535,0.467890,0.509259,29200.00,118,915
Vogue College of Cosmetology-McAllen,TX,National Accrediting Commission of Career Arts and Sciences,1,1,3,12,-2,-2,0.6351,,,,,,0.298246,,,,,
Wayland Baptist University,TX,Southern Association of Colleges and Schools Commission on Colleges,1,3,2,33,5,9,0.4708,,,,,,0.317336,0.417596,0.592145,37800.00,107,1132
Weatherford College,TX,Southern Association of Colleges and Schools Commission on Colleges,1,2,1,31,1,3,0.1507,5543,5951,7883,9972,,0.264151,0.433526,0.511364,29500.00,219,1129
West Texas A & M University,TX,Southern Association of Colleges and Schools Commission on Colleges,1,3,1,31,9,13,0.4720,9314,9630,12966,17780,19314,0.410131,0.523941,0.626522,35200.00,207,2214
Western Texas College,TX,Southern Association of Colleges and Schools Commission on Colleges,1,2,1,33,1,2,0.0422,4231,5343,8917,7933,,0.219858,0.390000,0.569231,28700.00,41,378
Wharton County Junior College,TX,Southern Association of Colleges and Schools Commission on Colleges,1,2,1,32,2,3,0.1701,2961,4222,6852,9183,9186,0.292740,0.440433,0.488889,29000.00,164,1232
Wiley College,TX,Southern Association of Colleges and Schools Commission on Colleges,1,3,2,32,11,11,0.7226,,,,,,0.226866,0.265000,0.270833,23200.00,56,511
AmeriTech College-Provo,UT,Accrediting Bureau of Health Education Schools,1,1,3,12,-2,-2,0.4375,,,,,,0.165007,0.398305,0.717949,43900.00,46,370
Bridgerland Technical College,UT,Council on Occupational Education,1,1,1,13,-2,-2,0.0000,8830,6730,,,,,,,27200.00,49,208
Brigham Young University-Provo,UT,Northwest Commission on Colleges and Universities,1,3,2,12,14,15,0.1478,,,,,,0.764847,0.757909,0.769663,41100.00,1533,6075
Brigham Young University-Hawaii,HI,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,2,31,15,11,0.1209,,,,,,0.634868,0.649215,0.700000,29000.00,151,471
Broadview University-West Jordan,UT,Accrediting Council for Independent Colleges and Schools,1,2,3,21,7,6,0.6882,,,,,,0.203304,0.367978,0.559322,24400.00,195,894
Cameo College of Essential Beauty,UT,National Accrediting Commission of Career Arts and Sciences,1,1,3,21,-2,-2,0.3554,,,,,,0.418440,,,20600.00,40,152
Collectiv Academy,UT,National Accrediting Commission of Career Arts and Sciences,1,1,3,21,-2,-2,0.4444,,,,,,,,,,,
Davis Technical College,UT,Council on Occupational Education,1,1,1,21,-2,-2,0.0000,,,,,,,,,25300.00,71,249
Dixie State University,UT,Northwest Commission on Colleges and Universities,1,2,1,13,6,12,0.2572,11669,12375,14176,14199,13725,0.349769,0.532962,0.646154,28600.00,310,1802
Evans Hairstyling College-Cedar City,UT,National Accrediting Commission of Career Arts and Sciences,1,1,3,33,-2,-2,0.1852,,,,,,,,,,,
Evans Hairstyling College-St George,UT,National Accrediting Commission of Career Arts and Sciences,1,1,3,13,-2,-2,0.0000,,,,,,,,,,,
Paul Mitchell the School-Salt Lake City,UT,National Accrediting Commission of Career Arts and Sciences,1,1,3,21,-2,-2,0.5585,,,,,,0.301676,0.496774,0.608696,21700.00,53,241
Eagle Gate College-Murray,UT,Accrediting Bureau of Health Education Schools,1,1,3,21,5,6,0.8267,,,,,,0.173675,0.318885,0.400000,24600.00,199,1018
LDS Business College,UT,Northwest Commission on Colleges and Universities,1,2,2,12,3,2,0.1213,,,,,,0.581699,0.663677,0.709091,28900.00,92,381
Ogden-Weber Technical College,UT,Council on Occupational Education,1,1,1,13,-2,-2,0.0000,415,665,2598,,,,,,20400.00,97,320
Snow College,UT,Northwest Commission on Colleges and Universities,1,2,1,33,10,12,0.4007,8466,6451,9201,11605,12249,0.449864,0.672055,0.749077,25300.00,214,755
Southern Utah University,UT,Northwest Commission on Colleges and Universities,1,3,1,33,12,12,0.8586,12518,12144,14291,15607,15624,0.546951,0.669431,0.733333,30200.00,290,1751
Stevens-Henager College,UT,Accrediting Commission of Career Schools and Colleges,1,2,2,21,10,6,0.7610,,,,,,0.114178,0.231021,0.391429,24200.00,651,3111
Stevens-Henager College,UT,Accrediting Commission of Career Schools and Colleges,0,3,2,13,10,6,0.7622,,,,,,0.114178,0.231021,0.391429,24200.00,651,3111
Uintah Basin Technical College,UT,Council on Occupational Education,1,1,1,33,-2,-2,0.0000,,,,,,,,,,,
Utah State University,UT,Northwest Commission on Colleges and Universities,1,3,1,13,9,15,0.2947,10888,10853,12870,16073,16746,0.598293,0.675597,0.718232,33900.00,766,4359
Utah Valley University,UT,Northwest Commission on Colleges and Universities,1,3,1,13,7,15,0.1515,6110,6637,7993,10761,11826,0.473902,0.587315,0.655614,34500.00,1048,5985
Salt Lake Community College,UT,Northwest Commission on Colleges and Universities,1,2,1,21,1,5,0.1219,6530,7053,8844,10998,11702,0.400250,0.588235,0.648073,30200.00,921,5303
University of Utah,UT,Northwest Commission on Colleges and Universities,1,3,1,12,9,15,0.3096,12021,12082,14946,17261,17896,0.623001,0.687007,0.716478,40800.00,554,5123
Weber State University,UT,Northwest Commission on Colleges and Universities,1,2,1,13,7,15,0.1873,9992,10599,12727,14808,15276,0.496140,0.611600,0.655483,36100.00,530,4145
Westminster College,UT,Northwest Commission on Colleges and Universities,1,3,2,12,13,10,0.4655,,,,,,0.555147,0.699060,0.748366,39200.00,63,674
Bennington College,VT,New England Commission on Higher Education,1,3,2,32,12,8,0.4916,,,,,,0.745098,0.758065,0.702290,24100.00,,
Castleton University,VT,New England Commission on Higher Education,1,3,1,32,11,11,0.6749,12560,13886,16472,20176,21222,0.530909,0.702273,0.730310,32000.00,42,799
Champlain College,VT,New England Commission on Higher Education,1,3,2,13,9,13,0.5356,,,,,,0.543750,0.726287,0.794393,38800.00,79,996
Community College of Vermont,VT,New England Commission on Higher Education,1,2,1,41,1,3,0.1582,8414,9368,11957,14583,14337,0.322755,0.512162,0.554487,25800.00,342,2000
Goddard College,VT,New England Commission on Higher Education,1,3,2,42,11,6,0.6772,,,,,,0.458647,,,22900.00,40,131
